Date,Pair,Type,Volume,Entry,TP,SL,Close,P&L,Session,Emotion,Prop Firm,Notes
2026-03-10,XAUUSD,buy,0.01,5189.37,,,5168.21,21.11,London,,UPCOMERS,
2026-03-10,EURJPY,buy,0.52,183.22,,,183.62,133.36,Asia,,UPCOMERS,
2026-03-09,EURJPY,sell,0.4,183.2,,,182.8,100.35,Asia,,UPCOMERS,
2026-03-06,XAUUSD,buy,0.01,5119.56,,,5099.09,20.42,London,,UPCOMERS,
2026-03-06,XAUUSD,buy,0.01,5103.69,,,5115.69,-12.38,New York,,UPCOMERS,
2026-03-05,XAUUSD,sell,0.01,5118.78,,,5107.08,-11.83,New York,,UPCOMERS,
2026-03-05,XAUUSD,sell,0.02,5128.69,,,5107.18,-43.12,New York,,UPCOMERS,
2026-03-05,XAUUSD,sell,0.01,5129.35,,,5112.99,-16.41,New York,,UPCOMERS,
2026-03-04,XAUUSD,buy,0.01,5178.07,,,5145,33.02,New York,,UPCOMERS,
2026-03-04,XAUUSD,buy,0.01,5182.26,,,5150.83,31.26,New York,,UPCOMERS,
2026-03-03,XAUUSD,sell,0.01,5152.75,,,5127.18,-25.62,New York,,UPCOMERS,
2026-03-03,XAUUSD,sell,0.01,5313.41,,,5283.33,-30.13,Asia,,UPCOMERS,
2026-03-03,XAUUSD,sell,0.03,5310.49,,,5287.81,-45.36,Asia,,UPCOMERS,
2026-03-03,XAUUSD,sell,0.03,5310.49,,,5287.81,-0.08,Asia,,UPCOMERS,
2026-03-03,XAUUSD,buy,0.01,5360.02,,,5329.71,30.3,Asia,,UPCOMERS,
2026-02-27,XAUUSD,sell,0.06,5188.97,,,5180.31,-52.5,Asia,,UPCOMERS,
2026-02-26,XAUUSD,buy,0.04,5190.65,,,5190.16,1.84,Asia,,UPCOMERS,
2026-02-26,XAUUSD,sell,0.02,5177.94,,,5171,-13.88,London,,UPCOMERS,
2026-02-25,XAUUSD,sell,0.01,5189.63,,,5179.63,-10,London,,UPCOMERS,
2026-02-25,XAUUSD,sell,0.01,5185.87,,,5179.61,-6.3,London,,UPCOMERS,
2026-02-25,XAUUSD,sell,0.03,5185.15,,,5176.39,-26.28,London,,UPCOMERS,
2026-02-24,XAUUSD,sell,0.01,5175.02,,,5163.3,-11.72,London,,UPCOMERS,
2026-02-24,XAUUSD,sell,0.01,5173.5,,,5180.64,-7.17,Asia,,UPCOMERS,
2026-02-23,XAUUSD,sell,0.01,5128.91,,,5139.91,-11,London,,UPCOMERS,
2026-02-23,XAUUSD,buy,0.01,5152.19,,,5126.8,25.39,Asia,,UPCOMERS,
2026-02-20,XAUUSD,buy,0.01,5025.97,,,5008.62,17.34,Asia,,UPCOMERS,
2026-02-20,XAUUSD,buy,0.01,5016.78,,,5050.43,33.65,London,,UPCOMERS,
2026-02-19,XAUUSD,buy,0.02,5013.93,,,4988.22,51.32,London,,UPCOMERS,
2026-02-18,XAUUSD,buy,0.01,4934.17,,,4918.38,15.79,Asia,,UPCOMERS,
2026-02-18,XAUUSD,sell,0.01,4934.57,,,4941.44,-6.97,Asia,,UPCOMERS,
2026-02-18,XAUUSD,sell,0.01,4931.31,,,4941.46,-10.15,Asia,,UPCOMERS,
2026-02-18,XAUUSD,sell,0.01,4951.9,,,4950.55,-1.35,New York,,UPCOMERS,
2026-02-18,XAUUSD,buy,0.01,4935.97,,,4918.38,17.52,Asia,,UPCOMERS,
2026-02-17,EURJPY,sell,0.05,180.91,,,181.12,-6.93,New York,,NOSTRO,
2026-02-17,EURJPY,sell,0.15,181.01,,,181.19,-17.44,London,,NOSTRO,
2026-02-17,XAUUSD,sell,0.02,4921.71,,,4909.19,-25.04,New York,,UPCOMERS,
2026-02-17,XAUUSD,sell,0.01,4926.08,,,4927.59,-1.51,London,,UPCOMERS,
2026-02-16,XAUUSD,sell,0.01,4975.9,,,4975.87,-0.03,Asia,,UPCOMERS,
2026-02-16,EURJPY,sell,0.01,182.19,,,181.83,2.37,New York,,NOSTRO,
2026-02-16,XAUUSD,buy,0.01,4980.51,,,5006.18,25.67,Asia,,UPCOMERS,
2026-02-16,XAUUSD,buy,0.02,5010.2,,,4994.74,30.9,London,,UPCOMERS,
2026-02-16,XAUUSD,sell,0.01,4975.9,,,4970.76,-5.14,Asia,,UPCOMERS,
2026-02-13,XAUUSD,sell,0.01,4980.33,,,4999.65,-19.3,New York,,UPCOMERS,
2026-02-13,EURJPY,buy,0.01,181.82,,,181.31,3.3,London,,UPCOMERS,
2026-02-13,XAUUSD,buy,0.01,4981.93,,,4980.69,0.8,Asia,,UPCOMERS,
2026-02-13,EURJPY,buy,0.01,181.64,,,181.78,0.92,London,,NOSTRO,
2026-02-13,EURJPY,buy,0.01,181.64,,,181.93,1.9,London,,NOSTRO,
2026-02-13,EURJPY,buy,0.1,181.86,,,181.4,30.04,London,,UPCOMERS,
2026-02-13,XAUUSD,sell,0.01,4974.75,,,4986.49,-11.74,Asia,,UPCOMERS,
2026-02-13,XAUUSD,buy,0.01,4982.27,,,4955,27.27,London,,UPCOMERS,
2026-02-12,XAUUSD,buy,0.01,5055.4,,,5075.72,-20.32,Asia,,UPCOMERS,
2026-02-12,USDJPY,buy,0.12,153.15,,,153.35,-16.48,Asia,,UPCOMERS,
2026-02-12,EURJPY,sell,0.01,181.62,,,181.99,-2.44,London,,NOSTRO,
2026-02-11,XAUUSD,buy,0.01,5049.35,,,5049.73,0.36,Asia,,UPCOMERS,
2026-02-11,XAUUSD,buy,0.01,5053.86,,,5049.21,-4.65,London,,UPCOMERS,
2026-02-11,XAUUSD,buy,0.01,5083.48,,,5100,-17.65,New York,,UPCOMERS,
2026-02-11,EURJPY,buy,0.05,182.49,,,182.98,15.81,London,,NOSTRO,
2026-02-11,EURJPY,buy,0.05,182.49,,,182.51,0.65,London,,NOSTRO,
2026-02-11,XAUUSD,buy,0.01,5054.25,,,5060.92,-6.67,Asia,,UPCOMERS,
2026-02-11,XAUUSD,buy,0.01,5048.22,,,5049.3,1.02,Asia,,UPCOMERS,
2026-02-10,XAUUSD,buy,0.01,5048.21,,,5055.66,-7.45,New York,,UPCOMERS,
2026-02-10,XAUUSD,buy,0.01,5009.59,,,5012.2,2.48,New York,,UPCOMERS,
2026-02-10,EURJPY,buy,0.1,184.89,,,185.23,21.98,London,,NOSTRO,
2026-02-09,EURJPY,buy,0.02,185.37,,,185.73,4.55,London,,NOSTRO,
2026-02-09,NAS100,sell,0.04,24997.8,,,25031.49,-1.35,New York,,NOSTRO,
2026-02-09,EURJPY,buy,0.01,185.44,,,185.76,2,London,,NOSTRO,
2026-02-09,EURJPY,buy,0.01,185.59,,,185.68,0.54,New York,,NOSTRO,
2026-02-06,EURJPY,sell,0.02,185.43,,,185.58,-2.02,New York,,NOSTRO,
2026-02-06,EURJPY,sell,0.02,184.84,,,185.05,-2.69,London,,NOSTRO,
2026-02-06,EURJPY,buy,0.02,184.89,,,185.07,2.31,London,,NOSTRO,
2026-02-06,EURJPY,sell,0.04,185.12,,,185.35,-5.91,New York,,NOSTRO,
2026-02-06,EURJPY,sell,0.02,185.29,,,185.5,-2.65,New York,,NOSTRO,
2026-02-05,USDJPY,buy,0.06,156.87,,,156.91,1.22,London,,NOSTRO,
2026-02-05,USD/JPY,Buy,0.03,,,,,6.07,London,,NOSTRO,
2026-02-03,EURJPY,buy,0.05,183.99,,,183.99,0.1,,,NOSTRO,
2026-02-03,GBPJPY,buy,0.04,213.16,,,213.04,-2.9,,,NOSTRO,
2026-02-03,EURJPY,sell,0.05,183.77,,,183.99,-7.16,,,NOSTRO,
2026-02-02,EURJPY,sell,0.01,183.54,,,183.79,-1.61,,,NOSTRO,
2026-02-02,EURJPY,sell,0.05,183.54,,,183.77,-7.33,,,NOSTRO,
2026-02-02,EURJPY,buy,0.05,183.63,,,183.4,-7.7,,,NOSTRO,
2026-01-30,EURJPY,sell,0.06,183.88,,,183.94,-2.25,,,NOSTRO,
2026-01-30,EUR/JPY,Sell,0.06,183.88,,,183.94,18.06,NY,Calm,NOSTRO,
2026-01-30,EURJPY,sell,0.06,183.88,,,183.36,20.31,,,NOSTRO,
2026-01-30,USDJPY,sell,0.05,153.86,,,154.03,-5.45,,,NOSTRO,
2026-01-29,NDX100,,,,,,,-24.69,London,wasn't calm,FUNDING PIPS,
2026-01-29,XAUUSD,,,,,,,-25.61,London,wasn't calm,FUNDING PIPS,
2026-01-29,XAUUSD,buy,0.01,5562.89,,,5540.85,-22.04,,,NOSTRO,
2026-01-28,XAUUSD,,,,,,,-2.7,London,wasn't calm,FUNDING PIPS,
2026-01-27,XAUUSD,,,,,,,-15.98,London,wasn't calm,FUNDING PIPS,
2026-01-27,XAUUSD,sell,0.01,5071.47,,,5087.22,-15.75,,,NOSTRO,
2026-01-27,XAUUSD,,,,,,,10.97,London,wasn't calm,FUNDING PIPS,
2026-01-27,XAUUSD,,,,,,,6.59,London,wasn't calm,FUNDING PIPS,
2026-01-26,NDX100,,,,,,,-7.92,London,wasn't calm,FUNDING PIPS,
2026-01-23,NDX100,,,,,,,29.23,London,wasn't calm,FUNDING PIPS,
2026-01-22,XAUUSD,,,,,,,-25.36,London,wasn't calm,FUNDING PIPS,
2026-01-21,XAUUSD,,,,,,,-16.42,London,wasn't calm,FUNDING PIPS,
2026-01-21,GBP/JPY,,,,,,,-36.72,London,wasn't calm,FUNDING PIPS,
2026-01-20,USD/JPY,,,,,,,-1.51,London,wasn't calm,FUNDING PIPS,
2026-01-20,USD/JPY,,,,,,,-52.69,London,wasn't calm,FUNDING PIPS,
2026-01-16,XAUUSD,,,,,,,-32.46,London,wasn't calm,FUNDING PIPS,
2026-01-16,XAUUSD,,,,,,,10.32,NY,wasn't calm,NOSTRO,
2026-01-15,XAUUSD,,,,,,,-48.67,London,Calm,NOSTRO,
2026-01-15,EUR/JPY,,,,,,,-65.83,London,wasn't calm,FUNDING PIPS,
2026-01-15,EUR/JPY,,,,,,,20.05,London,wasn't calm,FUNDING PIPS,
2026-01-14,XAUUSD,,,,,,,-15.68,London,wasn't calm,FUNDING PIPS,
2026-01-14,XAUUSD,,,,,,,1.24,London,wasn't calm,FUNDING PIPS,
2026-01-14,XAUUSD,,,,,,,-21.22,London,Calm,NOSTRO,
2026-01-12,EUR/JPY,,,,,,,-3.77,Asia,Calm,FUNDING PIPS,
2026-01-12,XAUUSD,Buy,0.01,,-0.00003,,,36.36,London,Calm,NOSTRO,
2026-01-12,XAUUSD,,,,,,,13.44,London,wasn't calm,FUNDING PIPS,
2026-01-09,XAUUSD,,,,,,,-4.62,NY,Calm,NOSTRO,
2026-01-09,XAUUSD,,,,,,,-14.52,NY,Calm,FUNDING PIPS,
2026-01-09,XAUUSD,,,,,,,-26.38,NY,Calm,NOSTRO,
2026-01-08,XAUUSD,,,,,,,-4.33,NY,wasn't calm,QT,
2026-01-07,XAUUSD,,,,,,,-6.54,NY,wasn't calm,FUNDING PIPS,
2026-01-07,XAUUSD,,,,,,,-51.54,Asia,wasn't calm,QT,
2026-01-07,XAUUSD,,,,,,,-45.15,NY,wasn't calm,QT,
2026-01-07,XAUUSD,,,,,,,14.32,London,Calm,FUNDING PIPS,
2026-01-07,XAUUSD,,,,,,,-5.16,London,wasn't calm,QT,
2026-01-07,XAUUSD,,,,,,,-5.46,NY,Calm,NOSTRO,
2026-01-07,XAUUSD,,,,,,,6.45,London,Calm,NOSTRO,
2026-01-06,XAUUSD,,,,,,,-47.46,London ,Calm,FUNDING PIPS,
2026-01-06,XAUUSD,,,,,,,-46.83,London ,Calm,QT,
2026-01-06,XAUUSD,,,,,,,-16.06,London ,Calm,NOSTRO,
2026-01-05,GBP/JPY,Buy,1,210.899,212.04,210.688,210.688,-134.44,Asia,wasn't calm,FUNDING PIPS,
2026-01-05,XAUUSD,Sell,0.04,4420.97,4218,4433,4434.31,-53.36,Asia,wasn't calm,FUNDING PIPS,
2026-01-05,XAUUSD,,,,,,,-44,London ,Calm,QT,
2026-01-05,XAUUSD,,,,,,,-20.56,NY,Calm,NOSTRO,
2026-01-02,XAUUSD,Sell,0.1,4394.05,4353.32,4400,4398.1,-40.48,london,calm,FUNDING PIPS,didn't enter at my time i broke my rule
2026-01-02,EUR/JPY,,,,,,,29.78,London,Calm,NOSTRO,
2026-01-02,EUR/JPY,,,,,,,75.23,London,Calm,QT,
2025-12-31,XAUUSD,,,,,,,101.21,NY,Calm,QT,it was over night poaition that was opened on dec 30
2025-12-31,XAUUSD,,,,,,,18.92,NY,Calm,NOSTRO,took small trade just for fresh start of the new year but we might not wake up tho but we will live as long as allah keept us alive.
2025-12-31,XAUUSD,,,,,,,104.84,NY,Calm,FUNDING PIPS,respecting entry time and entry model pays every time
2025-12-30,XAUUSD,,,,,,,-48.3,London,Calm,FUNDING PIPS,
2025-12-30,XAUUSD,,,,,,,23.47,NY,Calm,QT,respecting entry and time iss the key
2025-12-29,USDJPY,,,,,,,-13,Asia,calm,NOSTRO,
2025-12-26,XAUUSD,,,,,,,-94.65,London,Calm,FUNDING PIPS,
2025-12-24,XAUUSD,,,,,,,112,NY,CALM,QT,
2025-12-23,XAUUSD,,,,,,,58.18,London,Calm,FUNDING PIPS,
2025-12-23,XAUUSD,,,,,,,-53.95,LONDON,CALM,QT,
2025-12-23,XAUUSD,,,,,,,71.15,LONDON,CALM,NOSTRO,
2025-12-23,XAUUSD,,,,,,,-0.72,ASIA,CALM,NOSTRO,
2025-12-19,XAUUSD,,,,,,,17.01,,Calm,FUNDING PIPS,
2025-12-19,XAUUSD,,,,,,,-46.05,LONDON,CALM,QT,
2025-12-19,XAUUSD,,,,,,,5.21,LONDON,CALM,NOSTRO,
2025-12-18,XAUUSD,,,,,,,5.52,LONDON,CALM,QT,
2025-12-17,XAUUSD,,,,,,,-12.82,LONDON,CALM,QT,
2025-12-16,XAUUSD,,,,,,,-51.34,LONDON,CALM,QT,
2025-12-16,XAUUSD,,,,,,,51.38,London,Calm,FUNDING PIPS,
2025-12-16,XAUUSD,,,,,,,12.84,LONDON,CALM,NOSTRO,
2025-12-15,XAUUSD,,,,,,,-16.72,LONDON,CALM,NOSTRO,
2025-12-15,XAUUSD,,,,,,,-29.51,Asia,Calm,FUNDING PIPS,
2025-12-15,XAUUSD,,,,,,,-38.41,LONDON,CALM,QT,
2025-12-12,XAUUSD,,,,,,,-48.62,Asia,Calm,FUNDING PIPS,
2025-12-12,USD/JPY,,,,,,,-7.3,Asia,Calm,FUNDING PIPS,
2025-12-12,XAUUSD,,,,,,,-8.18,Asia,Calm,NOSTRO,
2025-12-10,XAUUSD,,,,,,,8.6,Asia,Calm,NOSTRO,
2025-12-10,XAUUSD,,,,,,,18.12,LONDON,CALM,QT,
2025-12-08,XAUUSD,,,,,,,-84.44,Asia,Calm,FUNDING PIPS,
2025-12-08,XAUUSD,,,,,,,-29.36,Asia,Calm,QT,
2025-12-08,XAUUSD,,,,,,,-15.54,Asia,Calm,NOSTRO,
2025-12-08,XAUUSD,,,,,,,-20.04,Asia,Calm,QT,
2025-12-08,XAUUSD,,,,,,,-15.6,Asia,Calm,NOSTRO,
2025-12-04,XAUUSD,,,,,,,-27.04,London ,Calm,QT,
2025-12-04,XAUUSD,,,,,,,-48.95,London ,Calm,FUNDING PIPS,
2025-12-04,XAUUSD,,,,,,,-24,London ,Calm,NOSTRO,
2025-12-03,XAUUSD,,,,,,,98.45,Asia,Calm,FUNDING PIPS,
2025-12-03,USD/JPY,,,,,,,48.82,London,Calm,QT,
2025-12-03,XAUUSD,,,,,,,30.31,London,Calm,NOSTRO,
2025-12-03,XAUUSD,,,,,,,10.05,Asia,Calm,NOSTRO,
2025-12-02,XAUUSD,,,,,,,-10.73,Asia,Calm,NOSTRO,
2025-12-01,XAUUSD,,,,,,,-18.97,Asia,calm,FUNDING PIPS,
2025-12-01,USD/JPY,,,,,,,-25,Asia,Calm,NOSTRO,
2025-11-28,XAUUSD,,,,,,,-25.9,Asia,Calm,FUNDING PIPS,
2025-11-28,EUR/JPY,,,,,,,3.5,Asia,Calm,NOSTRO,
2025-11-27,XAUUSD,,,,,,,2.97,London,Calm,QT,
2025-11-27,USD/JPY,,,,,,,28.84,Asia,Calm,FUNDING PIPS,
2025-11-27,USD/JPY,,,,,,,36,Asia,Calm,NOSTRO,
2025-11-26,XAUUSD,,,,,,,9,Asia,Calm,FUNDING PIPS,
2025-11-26,USD/JPY,,,,,,,17.73,Asia,wasn't calm,NOSTRO,
2025-11-26,XAUUSD,,,,,,,-120.82,London,Calm,FUNDING PIPS,
2025-11-26,USD/JPY,,,,,,,69.19,Asia,Calm,QT,
2025-11-26,XAUUSD,,,,,,,-4.67,Asia,Calm,FUNDING PIPS,
2025-11-25,XAUUSD,,,,,,,-37.29,London,Calm,QT,
2025-11-25,XAUUSD,,,,,,,21,London,Calm,Nostro,
2025-11-25,USD/JPY,,,,,,,117.8,London,Calm,Nostro,
2025-11-25,XAUUSD,,,,,,,-35,London,Calm,FUNDING PIPS,
2025-11-24,XAUUSD,,,,,,,-4.13,Asia,Calm,Nostro,
2025-11-24,XAUUSD,,,,,,,-30.15,Asia,Calm,FUNDING PIPS,
2025-11-24,XAUUSD,,,,,,,-32.07,Asia,Calm,QT,
2025-11-21,USD/JPY,,,,,,,59.21,Asia,Calm,Nostro,
2025-11-21,USD/JPY,,,,,,,76.62,Asia,Calm,QT,
2025-11-21,USD/JPY,,,,,,,63.54,Asia,Calm,FUNDING PIPS,trend+breaker block
2025-11-21,XAUUSD,,,,,,,3.94,Asia,Calm,QT,
2025-11-20,XAUUSD,,,,,,,-38.42,Asia,Calm,Nostro,
2025-11-20,XAUUSD,,,,,,,-9.9,Asia,Calm,Nostro,
2025-11-20,XAUUSD,,,,,,,-8.44,Asia,Calm,QT,
2025-11-20,XAUUSD,,,,,,,-14.09,ASIA,CALM,Nostro,reversal

2025-11-19,XAUUSD,,,,,,,102.2,LONDON,CALM,QT,trend + break
2025-11-19,USD/JPY,,,,,,,65.09,LONDON,CALM,Nostro,LIQ + TREND + BREAKER
2025-11-18,USD/JPY,,,,,,,37.75,Asia,Calm,QT,
2025-11-18,USD/JPY,,,,,,,51.88,Asia,Calm,Nostro,
2025-11-17,XAUUSD,,,,,,,-25.68,London,Calm,QT,
2025-11-17,XAUUSD,,,,,,,-28.51,Asia,wasn't calm,Nostro,
2025-11-17,USD/JPY,,,,,,,-59,Asia,Calm,QT,
2025-11-14,GBP/JPY,,,,,,,-46.22,London,Calm,Nostro,
2025-11-14,XAUUSD,,,,,,,-2.36,Asia,Calm,EQUITY EDGE-F,
2025-11-14,GBP/JPY,,,,,,,-58.58,London,Calm,QT,
2025-11-14,XAUUSD,,,,,,,-22.88,Asia,Calm,Nostro,
2025-11-14,XAUUSD,,,,,,,10.64,Asia,Calm,EQUITY EDGE-F,
2025-11-13,XAUUSD,,,,,,,35.9,London,Calm,EQUITY EDGE-F,break and trend
2025-11-13,GBP/JPY,,,,,,,-2.81,Asia,Calm,EQUITY EDGE-F,
2025-11-13,GBP/JPY,,,,,,,0.71,Asia,Calm,EQUITY EDGE-F,
2025-11-13,XAUUSD,,,,,,,32.3,London,Calm,EQUITY EDGE-F,
2025-11-13,XAUUSD,,,,,,,64.58,London,Calm,Nostro,
2025-11-13,XAUUSD,,,,,,,-21.06,NY,Calm,QT,
2025-11-13,XAUUSD,,,,,,,-5.2,London,Calm,Nostro,
2025-11-12,GBP/JPY,,,,,,,12.69,Asia,Calm,EQUITY EDGE-F,
2025-11-11,XAUUSD,,,,,,,-27.81,Asia,Calm,QT,no plan

2025-11-11,XAUUSD,,,,,,,-8.55,Asia,Calm,Nostro,no plan
2025-11-11,GBP/JPY,,,,,,,77.21,London,Calm,EQUITY EDGE-F,i was about to hold but the momentum is crazy
2025-11-10,XAUUSD,,,,,,,41.01,Asia,Calm,EQUITY EDGE-F,
2025-11-10,XAUUSD,,,,,,,-15.9,Asia,Calm,QT,NO PLAN

2025-11-10,XAUUSD,,,,,,,-46.72,Asia,Calm,Nostro,LOSS[ CAUSE I DIDN'T FOLLOW THE BASIC PLAN OF MY TRADING ]
2025-11-07,XAUUSD,,,,,,,-30.26,LONDON,CALM,Nostro,
2025-11-07,XAUUSD,,,,,,,-30.66,LONDON,CALM,QT,miscalculated the sl
2025-11-07,XAUUSD,,,,,,,5.38,LONDON,CALM,EQUITY EDGE-F,
2025-11-06,XAUUSD,,,,,,,7.2,LONDON,CALM,Nostro,
2025-11-06,USD/JPY,,,,,,,-62.29,London,Calm,EQUITY EDGE-F,poor analysis 
2025-11-06,XAUUSD,,,,,,,2.79,LONDON,CALM,EQUITY EDGE-F,
2025-11-06,XAUUSD,,,,,,,-35.31,LONDON,CALM,Nostro,
2025-11-06,XAUUSD,,,,,,,-3.3,Asia,Calm,QT,
2025-11-06,XAUUSD,,,,,,,-2.63,,Calm,QT,
2025-11-06,XAUUSD,,,,,,,-36.84,LONDON,CALM,QT,
2025-11-06,XAUUSD,,,,,,,3.22,LONDON,CALM,QT,
2025-11-06,XAUUSD,,,,,,,-3.66,London,Calm,Nostro,
2025-11-05,XAUUSD,,,,,,,-11.01,London,Calm,Nostro,
2025-11-05,EUR/JPY,,,,,,,-28.84,LONDON,CALM,EQUITY EDGE-F,no clear setup 
2025-11-05,XAUUSD,,,,,,,-15.37,London,Calm,Nostro,
2025-11-05,EUR/JPY,,,,,,,-41.52,Asia,Calm,QT,
2025-11-04,XAUUSD,,,,,,,36.06,Asia,Calm,QT,
2025-11-04,XAUUSD,,,,,,,27.24,Asia,wasn't calm,Nostro,
2025-11-04,XAUUSD,,,,,,,-3.89,Asia,Calm,EQUITY EDGE-F,
2025-11-04,XAUUSD,,,,,,,8.49,Asia,Calm,EQUITY EDGE-F,
2025-11-04,XAUUSD,,,,,,,36.06,Asia,Calm,QT,
2025-11-04,EUR/JPY,,,,,,,-26.57,Asia,Calm,QT,
2025-11-04,EUR/JPY,,,,,,,-26.04,Asia,Calm,Nostro,
2025-11-03,XAUUSD,,,,,,,-26,Asia,confiused,Nostro,loss was happed becuse of overtrading and unclear action
2025-10-31,XAUUSD,,,,,,,1.11,Asia,Calm,QT,
2025-10-31,XAUUSD,,,,,,,-15.94,Asia,Calm,QT,
2025-10-31,XAUUSD,,,,,,,-32.79,Asia,Calm,QT,
2025-10-31,XAUUSD,,,,,,,-15.13,Asia,Calm,Nostro,
2025-10-30,XAUUSD,,,,,,,73.08,LONDON,CALM,Nostro,
2025-10-30,XAUUSD,,,,,,,-8.43,NY,Calm,QT,
2025-10-30,XAUUSD,,,,,,,36.84,LONDON,CALM,QT,
2025-10-29,XAUUSD,,,,,,,20.7,NY,CALM,Nostro,
2025-10-29,EUR/JPY,,,,,,,-7.18,London,Calm,Nostro,it reversed and i didn't notice it

2025-10-29,XAUUSD,,,,,,,-12.19,Asia,Calm,QT,
2025-10-28,XAUUSD,,,,,,,-17.32,London,wasn't calm,QT,
2025-10-28,XAUUSD,,,,,,,48.74,London,Calm,QT,no liq but followed the trend

2025-10-28,EUR/JPY,,,,,,,17.78,London,Calm,Nostro,followed the market flow
2025-10-27,XAUUSD,,,,,,,-1.15,Asia,wasn't calm,QT,i enterd out the plan and closed it 
2025-10-27,XAUUSD,,,,,,,-10.58,Asia,Calm,QT,when i loss i loss because i didn't wait for LIQ grab
2025-10-24,EUR/JPY,,,,,,,-4.13,London ,Calm,QT,I went out of my way and tested the lower time frame and got cooked.
2025-10-23,XAUUSD,,,,,,,89.14,london,focused,QT,
