id;user_id;title;created_at;updated_at
46981e1f-7d66-4e22-847c-8b83e073f1e4;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What were my best trades this week?;2026-01-02 08:38:37.370592+00;2026-01-02 08:40:18.865153+00
d01d1905-5a92-4742-9ab0-d68101147ea9;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-03-29 06:49:18.082756+00;2026-03-29 06:49:59.535787+00
c3a365f4-158e-489d-a731-759b8e01e143;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze my win rate;2026-01-05 13:12:17.996343+00;2026-01-05 13:12:28.282901+00
d2f0fe27-5f4c-4149-b59d-c3ad43cd5775;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What do you think about my late trades;2026-01-25 13:23:03.383469+00;2026-01-25 13:23:10.480114+00
85a50944-86ea-473a-aa6f-a0a24442a407;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze my win rate;2026-01-31 13:50:49.496147+00;2026-01-31 13:50:53.932223+00
f0854f74-438b-40fd-89d3-b36205ba8587;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What's my current win rate and how can I improve i;2026-03-29 06:51:03.205699+00;2026-03-29 06:51:10.494941+00
664c45ff-8c81-4d98-8c3e-a817d56c43b1;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-02 04:32:25.91738+00;2026-02-02 04:33:10.896185+00
797493db-a2ad-4a7f-85e9-d3121b9f6fa1;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this chart;2026-02-04 05:20:24.587906+00;2026-02-04 05:22:30.187814+00
e2e66c38-761c-4150-905c-bb1ce3d96ffc;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;what's new with you?;2026-02-02 04:35:00.542846+00;2026-02-02 04:35:08.552026+00
fed5d280-2008-44d7-b0b3-0797fa459857;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;yo;2026-03-14 19:12:29.819881+00;2026-03-14 19:28:39.532325+00
feede697-7595-4bb3-b157-a42d1e16e691;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;yo;2026-04-13 10:23:33.669222+00;2026-04-13 10:23:39.648982+00
a62ade7c-7062-4664-b2f1-1f2c7ce72e96;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-04-01 19:07:47.869992+00;2026-04-01 19:07:54.929732+00
e56e5379-eaa1-4700-b490-5caa887b37eb;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What are my biggest recurring mistakes and weaknes;2026-03-16 09:02:27.708085+00;2026-03-16 09:02:59.797995+00
191ddf9e-86af-4da3-992b-5929d947bb61;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi;2026-02-06 05:04:13.696078+00;2026-02-06 05:15:50.529171+00
098022e6-cfc0-4199-8e78-89c38fd33d53;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-02 04:36:46.637981+00;2026-02-02 04:42:01.362303+00
f953f34c-46ac-4b30-a690-122245b392a3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Does my recent trading align with my strategy rule;2026-03-19 12:26:27.737806+00;2026-03-19 12:26:47.166967+00
1f079c76-5c8d-49b9-8436-89987f28ea0d;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-14 04:57:44.590857+00;2026-02-14 04:58:45.601874+00
07047cef-4f37-40a6-8933-e328e3cee820;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-18 04:46:34.306308+00;2026-02-18 04:46:40.042492+00
dde6c1e5-667d-4615-ac06-56b3f46245d5;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi buddy;2026-04-13 10:24:00.294252+00;2026-04-13 10:24:05.759738+00
3d71c411-f79e-4075-a946-3ad0b2a7a050;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-03-19 12:31:13.676059+00;2026-03-19 12:33:02.592316+00
6874c197-d56c-4206-b53b-980814339023;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-04-01 19:10:21.225446+00;2026-04-02 03:54:33.156592+00
f61c2465-c391-40a6-9f68-38f1908d0fe1;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;are smart;2026-03-09 07:41:18.112337+00;2026-03-09 07:42:28.51617+00
a495e022-a621-4981-87bb-efca9a555efe;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-03-29 05:15:15.80578+00;2026-03-29 05:18:05.007703+00
468b86b9-ff68-45f8-a273-d6a34d7e800b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-04-09 12:07:05.658499+00;2026-04-09 12:07:13.485096+00
4580e1dd-06fd-45b6-9630-a89f9e713d6b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;so as you can see this trade was made on april 8 b;2026-04-09 12:09:04.095089+00;2026-04-09 12:09:10.734225+00
